,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
Total,"14,812,190","31,894,650","11,347,119","867,997,471","12,347,552","610,652,661","6,717,812","15,884,683","11,012,789","118,505,651","2,572,408","54,852","5,895,087"
"Under $10,000        ","2,575,235","3,655,220","803,166","1,530,979","1,798,060","10,728,376","617,879","821,453","881,833","465,392","471,655","9,156","138,191"
"$10,000 under $25,000","3,615,334","7,079,511","2,686,687","62,647,579","2,951,703","48,166,428","910,285","1,094,390","2,299,726","2,547,363","538,656","5,925","491,797"
"$25,000 under $50,000","3,642,909","8,066,965","3,146,648","131,751,475","3,193,308","108,887,720","1,448,843","1,596,344","2,971,115","8,640,911","525,541","9,632","1,271,902"
"$50,000 under $75,000","1,986,971","4,834,871","1,766,861","122,059,884","1,752,531","98,266,992","1,250,973","1,541,431","1,886,841","10,837,327","353,250","9,127","1,293,322"
"$75,000 under 100,000","1,157,019","3,085,671","1,101,546","100,020,447","1,036,083","80,100,859","879,638","1,234,120","1,142,427","10,156,739","234,390","5,448","962,217"
"$100,000 or more     ","1,834,722","5,172,412","1,842,211","449,987,107","1,615,867","264,502,286","1,610,194","9,596,945","1,830,847","85,857,919","448,916","15,564","1,737,658"
,,,,,,,,,,,,,
90001,"17,166","45,764","23,682","387,359","15,186","345,166","2,597",960,"8,142","15,558","2,463",--        ,"2,903"
"Under $10,000        ","3,560","6,658","2,701","20,226","2,592","15,050",256,109,"1,221",816,905,--        ,89
"$10,000 under $25,000","7,984","21,144","11,328","136,216","7,177","119,499",789,187,"3,303","3,455","1,100",--        ,688
"$25,000 under $50,000","4,569","14,329","7,730","156,774","4,413","148,692","1,083",321,"2,659","5,155",366,--        ,"1,458"
"$50,000 under $75,000",857,"2,992","1,605","50,734",833,"47,696",353,125,767,"3,054",75,--        ,516
"$75,000 under $100,000",140,471,239,"11,775",133,"9,918",71,35,136,"1,050",17,--        ,102
"$100,000 or more     ",56,170,79,"11,634",38,"4,311",45,183,56,"2,028",*         ,--        ,50
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90002,"14,404","38,180","20,283","316,582","12,754","282,992","2,103",522,"6,837","12,236","2,235",--        ,"2,922"
"Under $10,000        ","3,254","6,363","2,850","16,884","2,517","14,274",174,70,"1,051",705,772,--        ,98
"$10,000 under $25,000","6,380","16,918","9,254","107,781","5,649","92,228",624,115,"2,697","2,924","1,057",--        ,666
"$25,000 under $50,000","3,869","11,841","6,546","132,515","3,719","123,533",897,200,"2,271","4,351",324,--        ,"1,501"
"$50,000 under $75,000",740,"2,521","1,372","43,704",715,"40,161",308,109,659,"2,547",66,--        ,522
"$75,000 under $100,000",117,387,190,"9,872",111,"8,478",66,15,115,880,16,--        ,95
"$100,000 or more     ",44,150,71,"5,826",43,"4,318",34,13,44,829,*         ,--        ,40
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90003,"19,221","49,834","26,006","410,675","16,810","361,103","2,731","1,007","9,232","16,839","3,264",--        ,"3,355"
"Under $10,000        ","4,481","8,563","3,709","24,589","3,327","19,068",275,111,"1,600","1,089","1,235",--        ,110
"$10,000 under $25,000","8,973","23,420","12,643","151,484","7,965","131,436",904,246,"3,816","4,163","1,475",--        ,932
"$25,000 under $50,000","4,720","14,381","7,852","160,929","4,521","149,960","1,079",201,"2,856","5,609",457,--        ,"1,632"
"$50,000 under $75,000",841,"2,806","1,488","49,445",809,"45,497",355,112,761,"3,008",72,--        ,516
"$75,000 under $100,000",142,472,227,"12,065",136,"10,578",78,68,137,"1,018",11,--        ,112
"$100,000 or more     ",64,192,87,"12,163",52,"4,564",40,269,62,"1,952",14,--        ,53
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90004,"24,272","48,917","17,726","1,200,113","19,567","763,244","6,705","26,190","17,134","180,895","6,194",*         ,"5,316"
"Under $10,000        ","5,584","8,130","1,924","15,771","3,216","19,807",890,"1,104","2,710","1,803","2,243",--        ,140
"$10,000 under $25,000","8,615","17,942","7,389","146,661","7,360","121,519","1,322","1,297","5,439","6,438","1,856",--        ,643
"$25,000 under $50,000","5,889","13,070","5,122","205,654","5,452","182,033","1,632","1,763","4,865","13,313",977,--        ,"1,419"
"$50,000 under $75,000","1,797","4,025","1,384","108,988","1,581","88,988",930,"1,432","1,747","10,872",392,--        ,942
"$75,000 under $100,000",729,"1,616",518,"62,539",627,"47,064",505,"1,126",722,"7,413",189,--        ,577
"$100,000 or more     ","1,658","4,134","1,389","660,500","1,331","303,833","1,426","19,468","1,651","141,056",537,*         ,"1,595"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90005,"12,307","25,038","9,341","416,260","9,880","286,035","2,470","5,685","8,206","55,198","3,250",*         ,"1,739"
"Under $10,000        ","3,136","4,676","1,147","9,422","1,851","11,400",349,620,"1,475",978,"1,231",*         ,43
"$10,000 under $25,000","4,944","10,795","4,639","83,769","4,238","69,761",601,580,"3,046","3,718","1,093",--        ,262
"$25,000 under $50,000","2,814","6,343","2,505","96,682","2,607","85,912",667,516,"2,294","6,465",530,--        ,504
"$50,000 under $75,000",679,"1,487",502,"41,008",598,"32,899",327,432,661,"4,348",163,--        ,312
"$75,000 under $100,000",263,563,161,"22,630",220,"16,364",159,294,260,"2,869",72,--        ,183
"$100,000 or more     ",471,"1,174",387,"162,749",366,"69,699",367,"3,243",470,"36,820",161,--        ,435
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90006,"18,159","40,214","17,113","371,237","14,740","306,853","2,532","1,752","10,944","22,487","4,562",--        ,"1,558"
"Under $10,000        ","4,992","7,964","2,349","25,268","2,944","16,961",402,275,"2,503","1,706","2,103",--        ,56
"$10,000 under $25,000","8,408","19,574","9,026","140,820","7,348","119,536",875,427,"4,755","5,420","1,692",--        ,389
"$25,000 under $50,000","3,879","10,250","4,709","131,199","3,649","118,770",824,449,"2,842","6,816",573,--        ,653
"$50,000 under $75,000",613,"1,741",773,"36,576",578,"32,197",253,212,584,"3,045",117,--        ,258
"$75,000 under $100,000",141,362,141,"12,043",125,"9,367",88,117,137,"1,397",33,--        ,91
"$100,000 or more     ",126,323,115,"25,331",96,"10,022",90,272,123,"4,103",44,--        ,111
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90007,"11,782","24,447","10,300","256,371","10,214","219,520","1,839","1,240","6,801","17,525","2,026",--        ,"2,084"
"Under $10,000        ","3,514","5,116","1,396","15,578","2,603","13,431",285,125,"1,348",745,830,--        ,498
"$10,000 under $25,000","4,942","10,826","4,993","83,299","4,422","73,162",579,219,"2,837","3,127",806,--        ,566
"$25,000 under $50,000","2,580","6,562","3,118","88,440","2,497","83,540",559,258,"1,892","4,474",267,--        ,591
"$50,000 under $75,000",489,"1,287",560,"29,189",469,"26,960",232,269,472,"2,545",61,--        ,227
"$75,000 under $100,000",132,334,117,"11,325",123,"9,746",86,72,130,"1,229",21,--        ,91
"$100,000 or more     ",125,322,116,"28,540",100,"12,681",98,297,122,"5,405",41,--        ,111
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90008,"12,698","24,393","9,442","484,961","10,162","365,320","4,165","5,705","8,772","45,767","2,430",--        ,"4,506"
"Under $10,000        ","2,413","3,839","1,324","6,411","1,582","9,223",380,315,793,522,645,--        ,123
"$10,000 under $25,000","3,730","7,331","3,211","62,631","2,972","48,224",661,619,"2,137","2,181",721,--        ,501
"$25,000 under $50,000","3,520","6,917","2,904","126,000","3,066","106,186","1,029","1,009","2,883","7,332",440,--        ,"1,340"
"$50,000 under $75,000","1,496","2,870",969,"90,862","1,238","68,709",855,878,"1,428","8,160",258,--        ,"1,107"
